DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER
Thursday,March,1.0,5.0,11.0,1.0,5.0,14.0,0.0,13.0,22.0
Friday,March,1.0,9.0,15.0,0.0,10.0,11.0,0.0,26.0,12.0
Saturday,March,0.0,4.0,7.0,0.0,16.0,7.0,1.0,20.0,16.0
Sunday,March,0.0,10.0,4.0,0.0,13.0,8.0,2.0,22.0,16.0
Monday,March,0.0,3.0,12.0,0.0,6.0,10.0,0.0,22.0,28.0
Tuesday,March,0.0,7.0,9.0,2.0,8.0,5.0,0.0,21.0,27.0
Wednesday,March,0.0,4.0,10.0,1.0,9.0,8.0,1.0,23.0,24.0
Thursday,March,0.0,4.0,5.0,0.0,9.0,13.0,2.0,17.0,33.0
Friday,March,0.0,6.0,7.0,0.0,6.0,12.0,0.0,22.0,31.0
Saturday,March,0.0,7.0,10.0,0.0,8.0,11.0,1.0,28.0,18.0
Sunday,March,0.0,6.0,6.0,0.0,7.0,13.0,0.0,26.0,9.0
Monday,March,0.0,6.0,4.0,0.0,6.0,10.0,0.0,18.0,27.0
Tuesday,March,0.0,5.0,5.0,1.0,2.0,2.0,0.0,22.0,22.0
Wednesday,March,0.0,3.0,9.0,0.0,11.0,4.0,0.0,24.0,21.0
Thursday,March,0.0,5.0,9.0,0.0,8.0,11.0,0.0,28.0,21.0
Friday,March,0.0,6.0,11.0,0.0,14.0,3.0,0.0,20.0,21.0
Saturday,March,0.0,8.0,15.0,0.0,13.0,9.0,1.0,18.0,20.0
Sunday,March,0.0,9.0,9.0,0.0,12.0,4.0,2.0,23.0,16.0
Monday,March,0.0,4.0,11.0,1.0,8.0,9.0,1.0,31.0,26.0
Tuesday,March,0.0,11.0,16.0,0.0,6.0,12.0,0.0,15.0,31.0
Wednesday,March,0.0,12.0,11.0,0.0,12.0,10.0,0.0,17.0,23.0
Thursday,March,0.0,15.0,10.0,0.0,10.0,23.0,1.0,14.0,26.0
Friday,March,2.0,7.0,13.0,0.0,8.0,10.0,0.0,25.0,24.0
Saturday,March,0.0,8.0,7.0,2.0,14.0,10.0,0.0,24.0,13.0
Sunday,March,0.0,7.0,8.0,0.0,15.0,5.0,2.0,24.0,9.0
Monday,March,0.0,5.0,9.0,0.0,13.0,9.0,0.0,31.0,18.0
Tuesday,March,0.0,7.0,11.0,4.0,7.0,10.0,1.0,22.0,9.0
Wednesday,March,0.0,3.0,3.0,0.0,13.0,11.0,0.0,23.0,32.0
