DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER
Friday,November,0.0,3.0,12.0,1.0,11.0,6.0,0.0,23.0,33.0
Saturday,November,0.0,9.0,11.0,1.0,15.0,6.0,0.0,35.0,29.0
Sunday,November,0.0,7.0,9.0,2.0,10.0,10.0,0.0,26.0,22.0
Monday,November,0.0,2.0,18.0,3.0,12.0,7.0,0.0,24.0,18.0
Tuesday,November,0.0,8.0,16.0,0.0,10.0,9.0,0.0,25.0,32.0
Wednesday,November,0.0,4.0,16.0,0.0,7.0,9.0,0.0,14.0,33.0
Thursday,November,0.0,5.0,11.0,1.0,4.0,11.0,0.0,15.0,32.0
Friday,November,0.0,5.0,12.0,1.0,9.0,15.0,0.0,33.0,26.0
Saturday,November,0.0,9.0,14.0,0.0,11.0,15.0,1.0,31.0,31.0
Sunday,November,0.0,5.0,7.0,1.0,12.0,25.0,1.0,32.0,21.0
Monday,November,0.0,5.0,21.0,1.0,4.0,11.0,1.0,21.0,30.0
Tuesday,November,0.0,5.0,13.0,0.0,4.0,11.0,0.0,28.0,26.0
Wednesday,November,0.0,6.0,25.0,0.0,9.0,5.0,2.0,24.0,31.0
Thursday,November,0.0,6.0,19.0,0.0,2.0,10.0,2.0,17.0,21.0
Friday,November,0.0,9.0,30.0,0.0,8.0,10.0,0.0,25.0,31.0
Saturday,November,0.0,5.0,10.0,0.0,10.0,12.0,1.0,28.0,23.0
Sunday,November,0.0,7.0,10.0,0.0,9.0,11.0,0.0,13.0,11.0
Monday,November,0.0,7.0,18.0,0.0,13.0,11.0,0.0,19.0,28.0
Tuesday,November,0.0,7.0,29.0,0.0,7.0,9.0,0.0,25.0,41.0
Wednesday,November,0.0,7.0,17.0,0.0,8.0,11.0,1.0,32.0,35.0
Thursday,November,1.0,6.0,16.0,0.0,6.0,1.0,0.0,22.0,14.0
Friday,November,1.0,5.0,12.0,0.0,11.0,12.0,1.0,20.0,25.0
Saturday,November,0.0,6.0,15.0,0.0,13.0,13.0,2.0,25.0,26.0
Sunday,November,0.0,6.0,7.0,0.0,10.0,10.0,0.0,22.0,16.0
Monday,November,0.0,7.0,15.0,1.0,8.0,10.0,0.0,18.0,32.0
Tuesday,November,0.0,5.0,16.0,1.0,9.0,12.0,0.0,15.0,30.0
Wednesday,December,0.0,4.0,10.0,0.0,6.0,10.0,0.0,21.0,26.0
Thursday,December,0.0,7.0,13.0,0.0,5.0,12.0,0.0,25.0,24.0
Friday,December,0.0,3.0,15.0,0.0,8.0,10.0,0.0,20.0,33.0
Saturday,December,0.0,5.0,9.0,0.0,9.0,18.0,0.0,15.0,24.0
Sunday,December,0.0,3.0,6.0,0.0,10.0,12.0,0.0,16.0,11.0
Monday,December,0.0,3.0,13.0,0.0,11.0,13.0,0.0,18.0,25.0
Tuesday,December,0.0,5.0,10.0,1.0,11.0,8.0,1.0,20.0,21.0
Wednesday,December,0.0,3.0,8.0,1.0,7.0,9.0,0.0,28.0,25.0
Thursday,December,0.0,4.0,14.0,0.0,12.0,9.0,0.0,9.0,20.0
Friday,December,0.0,8.0,14.0,0.0,9.0,9.0,1.0,34.0,37.0
Saturday,December,1.0,7.0,8.0,0.0,19.0,8.0,1.0,33.0,21.0
Sunday,December,0.0,5.0,6.0,1.0,11.0,8.0,1.0,27.0,10.0
Monday,December,0.0,3.0,20.0,0.0,8.0,12.0,0.0,25.0,24.0
Tuesday,December,0.0,3.0,15.0,0.0,5.0,8.0,0.0,20.0,21.0
Wednesday,December,0.0,5.0,14.0,0.0,10.0,7.0,0.0,17.0,24.0
Thursday,December,0.0,4.0,27.0,0.0,14.0,7.0,0.0,24.0,17.0
Friday,December,0.0,1.0,17.0,0.0,15.0,6.0,0.0,10.0,30.0
Saturday,December,0.0,3.0,11.0,1.0,14.0,13.0,0.0,23.0,21.0
Sunday,December,0.0,7.0,13.0,1.0,9.0,12.0,1.0,25.0,18.0
Monday,December,0.0,0.0,16.0,0.0,8.0,14.0,0.0,24.0,26.0
Tuesday,December,1.0,2.0,5.0,1.0,9.0,4.0,0.0,16.0,20.0
Wednesday,December,0.0,7.0,18.0,0.0,8.0,11.0,0.0,25.0,29.0
Thursday,December,0.0,3.0,15.0,0.0,8.0,8.0,0.0,34.0,42.0
Friday,December,0.0,10.0,10.0,0.0,11.0,6.0,0.0,22.0,20.0
Saturday,December,0.0,5.0,13.0,0.0,9.0,10.0,0.0,13.0,12.0
Sunday,December,0.0,6.0,7.0,0.0,8.0,7.0,0.0,15.0,16.0
Monday,December,1.0,4.0,13.0,0.0,13.0,16.0,0.0,13.0,19.0
Tuesday,December,0.0,3.0,15.0,0.0,5.0,7.0,0.0,21.0,22.0
Wednesday,December,0.0,2.0,15.0,0.0,7.0,9.0,0.0,17.0,26.0
Thursday,December,0.0,5.0,15.0,0.0,8.0,8.0,0.0,31.0,26.0
Friday,December,0.0,7.0,13.0,0.0,11.0,6.0,0.0,19.0,20.0
Saturday,January,0.0,7.0,8.0,0.0,11.0,8.0,5.0,22.0,28.0
Sunday,January,1.0,3.0,8.0,2.0,6.0,8.0,1.0,24.0,19.0
Monday,January,0.0,2.0,7.0,0.0,7.0,7.0,0.0,19.0,19.0
Tuesday,January,0.0,3.0,13.0,0.0,7.0,7.0,0.0,25.0,21.0
Wednesday,January,0.0,1.0,6.0,1.0,9.0,7.0,0.0,18.0,26.0
Thursday,January,0.0,7.0,11.0,0.0,8.0,4.0,0.0,21.0,14.0
Friday,January,0.0,7.0,14.0,1.0,10.0,7.0,0.0,15.0,24.0
Saturday,January,0.0,5.0,6.0,0.0,12.0,12.0,0.0,12.0,17.0
Sunday,January,0.0,4.0,8.0,0.0,8.0,7.0,0.0,23.0,9.0
Monday,January,0.0,5.0,9.0,0.0,9.0,9.0,0.0,12.0,14.0
Tuesday,January,0.0,4.0,10.0,0.0,6.0,9.0,0.0,15.0,23.0
Wednesday,January,0.0,4.0,9.0,0.0,9.0,9.0,0.0,19.0,21.0
Thursday,January,0.0,6.0,9.0,0.0,5.0,10.0,0.0,19.0,15.0
Friday,January,0.0,10.0,16.0,0.0,8.0,6.0,0.0,30.0,19.0
Saturday,January,0.0,1.0,11.0,0.0,8.0,9.0,0.0,41.0,24.0
Sunday,January,0.0,5.0,9.0,0.0,11.0,12.0,0.0,26.0,13.0
Monday,January,0.0,4.0,12.0,0.0,7.0,4.0,0.0,14.0,15.0
Tuesday,January,0.0,7.0,14.0,0.0,12.0,11.0,1.0,17.0,16.0
Wednesday,January,0.0,3.0,9.0,1.0,4.0,8.0,1.0,18.0,26.0
Thursday,January,0.0,4.0,11.0,0.0,14.0,3.0,1.0,19.0,31.0
Friday,January,0.0,8.0,17.0,0.0,7.0,6.0,0.0,22.0,30.0
Saturday,January,0.0,4.0,6.0,0.0,6.0,9.0,1.0,13.0,21.0
Sunday,January,0.0,5.0,9.0,3.0,11.0,6.0,0.0,26.0,22.0
Monday,January,0.0,8.0,12.0,0.0,9.0,5.0,0.0,15.0,24.0
Tuesday,January,0.0,0.0,10.0,0.0,11.0,7.0,0.0,24.0,17.0
Wednesday,January,0.0,2.0,6.0,0.0,8.0,8.0,0.0,13.0,13.0
Thursday,January,0.0,5.0,10.0,0.0,5.0,5.0,0.0,12.0,18.0
Friday,January,0.0,2.0,13.0,0.0,5.0,15.0,2.0,16.0,22.0
Saturday,January,0.0,9.0,10.0,0.0,9.0,6.0,0.0,28.0,12.0
Sunday,January,0.0,6.0,6.0,0.0,12.0,12.0,1.0,18.0,19.0
Monday,January,0.0,4.0,12.0,0.0,6.0,5.0,1.0,20.0,25.0
Tuesday,February,0.0,5.0,11.0,0.0,5.0,7.0,0.0,15.0,28.0
Wednesday,February,0.0,4.0,9.0,0.0,6.0,10.0,0.0,14.0,18.0
Thursday,February,0.0,5.0,16.0,0.0,5.0,7.0,0.0,15.0,29.0
Friday,February,0.0,2.0,10.0,1.0,10.0,9.0,0.0,23.0,22.0
Saturday,February,0.0,8.0,5.0,0.0,9.0,7.0,1.0,35.0,18.0
Sunday,February,0.0,9.0,5.0,0.0,6.0,7.0,1.0,21.0,18.0
Monday,February,0.0,4.0,9.0,0.0,7.0,8.0,0.0,24.0,27.0
Tuesday,February,0.0,5.0,11.0,0.0,8.0,13.0,0.0,15.0,25.0
Wednesday,February,0.0,3.0,10.0,0.0,6.0,3.0,0.0,23.0,27.0
Thursday,February,0.0,5.0,3.0,0.0,5.0,6.0,0.0,20.0,24.0
Friday,February,0.0,2.0,18.0,1.0,7.0,7.0,0.0,21.0,26.0
Saturday,February,0.0,7.0,7.0,0.0,1.0,6.0,1.0,27.0,26.0
Sunday,February,0.0,6.0,5.0,0.0,9.0,9.0,0.0,22.0,19.0
Monday,February,0.0,4.0,5.0,0.0,0.0,6.0,0.0,22.0,19.0
Tuesday,February,0.0,2.0,6.0,0.0,6.0,7.0,0.0,16.0,22.0
Wednesday,February,0.0,1.0,6.0,0.0,5.0,5.0,0.0,17.0,18.0
Thursday,February,0.0,5.0,10.0,1.0,8.0,11.0,0.0,19.0,20.0
Friday,February,0.0,6.0,23.0,0.0,9.0,3.0,1.0,21.0,31.0
Saturday,February,0.0,7.0,13.0,1.0,6.0,6.0,0.0,25.0,23.0
Sunday,February,0.0,6.0,14.0,1.0,15.0,13.0,0.0,24.0,14.0
Monday,February,0.0,3.0,9.0,0.0,9.0,8.0,0.0,26.0,12.0
Tuesday,February,0.0,3.0,9.0,0.0,15.0,5.0,1.0,15.0,27.0
Wednesday,February,0.0,4.0,14.0,0.0,7.0,9.0,0.0,21.0,19.0
Thursday,February,0.0,3.0,13.0,0.0,11.0,11.0,2.0,19.0,22.0
Friday,February,1.0,5.0,10.0,1.0,11.0,8.0,1.0,24.0,26.0
Saturday,February,0.0,8.0,5.0,0.0,8.0,13.0,0.0,38.0,33.0
Sunday,February,0.0,4.0,8.0,0.0,14.0,13.0,0.0,30.0,18.0
Monday,February,0.0,6.0,14.0,0.0,10.0,10.0,0.0,22.0,26.0
Tuesday,March,0.0,4.0,9.0,0.0,7.0,13.0,1.0,26.0,34.0
Wednesday,March,0.0,4.0,7.0,0.0,9.0,6.0,0.0,14.0,23.0
Thursday,March,0.0,8.0,10.0,0.0,7.0,5.0,0.0,24.0,21.0
Friday,March,0.0,6.0,16.0,0.0,10.0,9.0,0.0,21.0,30.0
Saturday,March,0.0,4.0,12.0,3.0,7.0,11.0,0.0,21.0,22.0
Sunday,March,0.0,4.0,6.0,0.0,7.0,9.0,0.0,22.0,17.0
Monday,March,0.0,7.0,9.0,0.0,4.0,7.0,0.0,24.0,19.0
Tuesday,March,1.0,6.0,4.0,0.0,13.0,5.0,0.0,21.0,19.0
Wednesday,March,1.0,9.0,10.0,0.0,6.0,4.0,0.0,14.0,23.0
Thursday,March,0.0,3.0,8.0,0.0,13.0,11.0,0.0,16.0,19.0
Friday,March,1.0,1.0,18.0,0.0,12.0,10.0,0.0,28.0,39.0
Saturday,March,1.0,10.0,8.0,0.0,8.0,15.0,1.0,32.0,25.0
Sunday,March,0.0,6.0,5.0,0.0,11.0,8.0,0.0,32.0,22.0
Monday,March,0.0,4.0,9.0,0.0,9.0,10.0,1.0,18.0,24.0
Tuesday,March,1.0,3.0,13.0,0.0,4.0,4.0,0.0,17.0,31.0
Wednesday,March,0.0,8.0,9.0,1.0,10.0,15.0,0.0,17.0,29.0
Thursday,March,0.0,3.0,11.0,0.0,9.0,13.0,0.0,18.0,25.0
Friday,March,0.0,8.0,16.0,0.0,5.0,10.0,0.0,18.0,33.0
Saturday,March,0.0,10.0,8.0,0.0,12.0,14.0,1.0,25.0,31.0
Sunday,March,0.0,11.0,2.0,1.0,5.0,12.0,0.0,26.0,20.0
Monday,March,1.0,7.0,11.0,0.0,5.0,16.0,0.0,22.0,21.0
Tuesday,March,1.0,4.0,9.0,0.0,5.0,8.0,0.0,23.0,28.0
Wednesday,March,0.0,4.0,19.0,0.0,2.0,9.0,0.0,22.0,25.0
Thursday,March,0.0,3.0,9.0,0.0,6.0,11.0,0.0,24.0,31.0
Friday,March,0.0,8.0,12.0,0.0,11.0,5.0,1.0,30.0,26.0
Saturday,March,0.0,9.0,6.0,0.0,13.0,11.0,0.0,29.0,30.0
Sunday,March,1.0,4.0,7.0,1.0,8.0,11.0,1.0,28.0,19.0
Monday,March,0.0,4.0,9.0,1.0,6.0,11.0,0.0,20.0,24.0
Tuesday,March,0.0,6.0,12.0,0.0,7.0,13.0,0.0,25.0,15.0
Wednesday,March,0.0,4.0,20.0,0.0,8.0,10.0,0.0,18.0,21.0
Thursday,March,0.0,5.0,8.0,0.0,6.0,7.0,1.0,24.0,30.0
Friday,April,0.0,4.0,8.0,0.0,9.0,10.0,0.0,22.0,37.0
Saturday,April,0.0,4.0,7.0,1.0,5.0,4.0,0.0,19.0,18.0
Sunday,April,0.0,7.0,4.0,0.0,7.0,6.0,1.0,35.0,15.0
Monday,April,0.0,6.0,8.0,0.0,8.0,10.0,1.0,21.0,20.0
Tuesday,April,0.0,0.0,8.0,1.0,7.0,3.0,0.0,23.0,27.0
Wednesday,April,0.0,6.0,14.0,3.0,10.0,6.0,0.0,19.0,25.0
Thursday,April,0.0,12.0,15.0,1.0,8.0,5.0,0.0,20.0,33.0
Friday,April,1.0,3.0,14.0,1.0,4.0,11.0,1.0,18.0,22.0
Saturday,April,0.0,6.0,8.0,0.0,8.0,9.0,0.0,27.0,28.0
Sunday,April,0.0,4.0,5.0,1.0,12.0,4.0,0.0,15.0,26.0
Monday,April,0.0,9.0,14.0,0.0,6.0,11.0,0.0,18.0,25.0
Tuesday,April,0.0,5.0,14.0,0.0,4.0,11.0,0.0,27.0,18.0
Wednesday,April,1.0,7.0,12.0,0.0,6.0,10.0,1.0,20.0,15.0
Thursday,April,0.0,3.0,15.0,0.0,8.0,7.0,0.0,18.0,25.0
Friday,April,0.0,6.0,7.0,0.0,11.0,8.0,0.0,19.0,20.0
Saturday,April,0.0,8.0,4.0,0.0,7.0,6.0,0.0,22.0,16.0
Sunday,April,0.0,8.0,8.0,1.0,5.0,10.0,1.0,23.0,32.0
Monday,April,0.0,5.0,11.0,1.0,3.0,11.0,0.0,20.0,25.0
Tuesday,April,0.0,6.0,16.0,0.0,5.0,9.0,1.0,15.0,26.0
Wednesday,April,0.0,4.0,7.0,0.0,9.0,9.0,0.0,25.0,36.0
Thursday,April,0.0,7.0,12.0,0.0,6.0,10.0,0.0,12.0,34.0
Friday,April,0.0,8.0,9.0,0.0,10.0,11.0,1.0,13.0,29.0
Saturday,April,1.0,5.0,14.0,0.0,9.0,11.0,1.0,26.0,24.0
Sunday,April,0.0,12.0,9.0,1.0,12.0,11.0,0.0,22.0,29.0
Monday,April,0.0,4.0,14.0,0.0,5.0,14.0,2.0,20.0,23.0
Tuesday,April,0.0,9.0,13.0,1.0,7.0,6.0,3.0,20.0,32.0
Wednesday,April,0.0,7.0,16.0,0.0,12.0,11.0,0.0,23.0,31.0
Thursday,April,0.0,5.0,12.0,0.0,8.0,10.0,0.0,15.0,28.0
Friday,April,0.0,6.0,6.0,0.0,6.0,14.0,0.0,32.0,26.0
Saturday,April,2.0,6.0,3.0,0.0,9.0,14.0,1.0,26.0,38.0
Sunday,May,0.0,8.0,7.0,0.0,13.0,9.0,2.0,34.0,22.0
Monday,May,0.0,6.0,13.0,0.0,12.0,12.0,1.0,23.0,28.0
Tuesday,May,1.0,10.0,10.0,1.0,4.0,8.0,0.0,5.0,30.0
Wednesday,May,0.0,9.0,9.0,0.0,7.0,9.0,0.0,13.0,29.0
Thursday,May,0.0,3.0,8.0,0.0,9.0,10.0,0.0,11.0,30.0
Friday,May,0.0,6.0,6.0,0.0,12.0,6.0,0.0,23.0,23.0
Saturday,May,0.0,7.0,12.0,0.0,10.0,11.0,2.0,29.0,28.0
Sunday,May,0.0,5.0,8.0,1.0,7.0,17.0,0.0,26.0,18.0
Monday,May,0.0,5.0,6.0,0.0,5.0,8.0,0.0,22.0,33.0
Tuesday,May,1.0,6.0,18.0,0.0,13.0,6.0,0.0,19.0,26.0
Wednesday,May,0.0,8.0,10.0,1.0,11.0,5.0,2.0,15.0,41.0
Thursday,May,0.0,6.0,10.0,0.0,13.0,10.0,2.0,15.0,32.0
Friday,May,0.0,11.0,22.0,1.0,5.0,8.0,0.0,36.0,25.0
Saturday,May,0.0,7.0,11.0,1.0,8.0,11.0,0.0,34.0,24.0
Sunday,May,0.0,1.0,7.0,0.0,5.0,4.0,1.0,27.0,26.0
Monday,May,0.0,6.0,11.0,0.0,6.0,9.0,1.0,22.0,39.0
Tuesday,May,0.0,7.0,13.0,1.0,9.0,20.0,0.0,15.0,26.0
Wednesday,May,0.0,7.0,12.0,0.0,6.0,12.0,0.0,18.0,34.0
Thursday,May,0.0,5.0,15.0,1.0,4.0,4.0,0.0,18.0,37.0
Friday,May,0.0,12.0,15.0,0.0,7.0,14.0,1.0,20.0,36.0
Saturday,May,0.0,6.0,12.0,0.0,7.0,7.0,0.0,31.0,23.0
Sunday,May,0.0,7.0,11.0,0.0,9.0,11.0,2.0,24.0,24.0
Monday,May,0.0,9.0,10.0,0.0,10.0,12.0,0.0,21.0,30.0
Tuesday,May,0.0,5.0,13.0,1.0,10.0,16.0,1.0,28.0,26.0
Wednesday,May,0.0,5.0,15.0,0.0,12.0,10.0,1.0,16.0,38.0
Thursday,May,0.0,8.0,16.0,1.0,5.0,14.0,0.0,24.0,35.0
Friday,May,0.0,4.0,17.0,0.0,6.0,10.0,1.0,27.0,51.0
Saturday,May,1.0,10.0,15.0,0.0,8.0,19.0,0.0,35.0,30.0
Sunday,May,0.0,11.0,12.0,1.0,10.0,14.0,0.0,32.0,25.0
Monday,May,0.0,3.0,9.0,1.0,6.0,12.0,0.0,18.0,22.0
Tuesday,May,0.0,7.0,14.0,1.0,7.0,16.0,1.0,23.0,35.0
Wednesday,June,0.0,3.0,8.0,0.0,6.0,8.0,1.0,16.0,36.0
Thursday,June,0.0,5.0,7.0,1.0,8.0,16.0,1.0,29.0,27.0
Friday,June,1.0,5.0,13.0,1.0,9.0,11.0,1.0,26.0,29.0
Saturday,June,0.0,8.0,7.0,0.0,10.0,16.0,0.0,31.0,26.0
Sunday,June,0.0,6.0,3.0,0.0,14.0,12.0,1.0,31.0,16.0
Monday,June,0.0,6.0,14.0,0.0,10.0,11.0,0.0,26.0,27.0
Tuesday,June,0.0,3.0,7.0,0.0,11.0,5.0,1.0,17.0,34.0
Wednesday,June,0.0,7.0,10.0,0.0,5.0,7.0,0.0,40.0,31.0
Thursday,June,0.0,4.0,13.0,0.0,11.0,10.0,1.0,23.0,36.0
Friday,June,0.0,8.0,16.0,0.0,12.0,9.0,0.0,17.0,36.0
Saturday,June,1.0,10.0,10.0,0.0,6.0,12.0,0.0,33.0,33.0
Sunday,June,0.0,8.0,11.0,0.0,8.0,11.0,1.0,22.0,32.0
Monday,June,0.0,1.0,8.0,0.0,10.0,9.0,0.0,17.0,23.0
Tuesday,June,1.0,4.0,13.0,0.0,11.0,8.0,0.0,27.0,24.0
Wednesday,June,0.0,10.0,11.0,1.0,3.0,8.0,1.0,25.0,33.0
Thursday,June,0.0,7.0,18.0,0.0,8.0,11.0,0.0,20.0,31.0
Friday,June,0.0,4.0,16.0,1.0,13.0,8.0,1.0,28.0,49.0
Saturday,June,0.0,7.0,15.0,1.0,10.0,18.0,0.0,28.0,30.0
Sunday,June,0.0,9.0,15.0,1.0,11.0,15.0,1.0,18.0,50.0
Monday,June,0.0,5.0,9.0,0.0,12.0,11.0,0.0,24.0,32.0
Tuesday,June,0.0,6.0,14.0,0.0,10.0,15.0,1.0,25.0,40.0
Wednesday,June,0.0,5.0,21.0,0.0,7.0,7.0,0.0,17.0,33.0
Thursday,June,0.0,6.0,13.0,0.0,10.0,4.0,0.0,22.0,46.0
Friday,June,0.0,10.0,20.0,0.0,13.0,14.0,0.0,30.0,33.0
Saturday,June,0.0,15.0,9.0,2.0,8.0,17.0,0.0,23.0,27.0
Sunday,June,0.0,7.0,9.0,0.0,10.0,18.0,1.0,32.0,26.0
Monday,June,0.0,4.0,12.0,0.0,11.0,13.0,2.0,32.0,31.0
Tuesday,June,1.0,12.0,16.0,1.0,9.0,10.0,0.0,22.0,36.0
Wednesday,June,0.0,5.0,13.0,0.0,11.0,8.0,1.0,26.0,32.0
Thursday,June,0.0,9.0,13.0,0.0,15.0,4.0,1.0,19.0,42.0
Friday,July,0.0,6.0,10.0,0.0,13.0,13.0,0.0,15.0,35.0
Saturday,July,0.0,11.0,8.0,1.0,11.0,11.0,0.0,28.0,25.0
Sunday,July,0.0,9.0,14.0,0.0,10.0,15.0,1.0,23.0,33.0
Monday,July,0.0,11.0,3.0,0.0,10.0,13.0,2.0,19.0,30.0
Tuesday,July,1.0,7.0,10.0,1.0,7.0,16.0,2.0,16.0,38.0
Wednesday,July,0.0,3.0,11.0,0.0,9.0,8.0,0.0,19.0,27.0
Thursday,July,0.0,6.0,13.0,1.0,7.0,17.0,0.0,22.0,25.0
Friday,July,0.0,7.0,10.0,0.0,11.0,12.0,1.0,23.0,45.0
Saturday,July,0.0,4.0,10.0,2.0,13.0,14.0,1.0,27.0,33.0
Sunday,July,0.0,10.0,11.0,0.0,12.0,15.0,0.0,18.0,31.0
Monday,July,0.0,8.0,9.0,0.0,13.0,9.0,0.0,24.0,33.0
Tuesday,July,1.0,7.0,12.0,0.0,12.0,11.0,0.0,18.0,32.0
Wednesday,July,0.0,7.0,18.0,0.0,9.0,16.0,1.0,21.0,34.0
Thursday,July,0.0,9.0,20.0,0.0,16.0,13.0,0.0,16.0,22.0
Friday,July,0.0,5.0,16.0,0.0,9.0,15.0,1.0,16.0,36.0
Saturday,July,0.0,10.0,6.0,0.0,16.0,7.0,0.0,31.0,43.0
Sunday,July,0.0,10.0,6.0,1.0,7.0,10.0,1.0,39.0,29.0
Monday,July,0.0,7.0,17.0,0.0,13.0,6.0,0.0,24.0,45.0
Tuesday,July,0.0,5.0,11.0,1.0,12.0,8.0,0.0,23.0,37.0
Wednesday,July,0.0,4.0,9.0,1.0,8.0,12.0,0.0,15.0,37.0
Thursday,July,0.0,8.0,10.0,0.0,11.0,9.0,1.0,13.0,21.0
Friday,July,0.0,15.0,3.0,0.0,16.0,9.0,0.0,31.0,37.0
Saturday,July,0.0,12.0,8.0,0.0,15.0,14.0,1.0,25.0,37.0
Sunday,July,0.0,8.0,6.0,0.0,9.0,13.0,3.0,38.0,27.0
Monday,July,0.0,6.0,10.0,0.0,11.0,11.0,0.0,21.0,25.0
Tuesday,July,0.0,7.0,14.0,0.0,11.0,8.0,0.0,25.0,32.0
Wednesday,July,0.0,11.0,9.0,0.0,16.0,9.0,1.0,23.0,44.0
Thursday,July,1.0,10.0,13.0,0.0,6.0,9.0,3.0,25.0,35.0
Friday,July,0.0,3.0,10.0,0.0,15.0,4.0,0.0,17.0,38.0
Saturday,July,0.0,12.0,10.0,0.0,13.0,8.0,0.0,28.0,34.0
Sunday,July,0.0,6.0,8.0,0.0,18.0,20.0,1.0,28.0,22.0
Monday,August,0.0,5.0,10.0,0.0,10.0,16.0,1.0,20.0,50.0
Tuesday,August,0.0,8.0,7.0,0.0,9.0,12.0,0.0,22.0,30.0
Wednesday,August,0.0,4.0,12.0,1.0,14.0,6.0,1.0,29.0,31.0
Thursday,August,0.0,9.0,15.0,0.0,10.0,7.0,0.0,20.0,39.0
Friday,August,0.0,6.0,8.0,1.0,9.0,8.0,0.0,25.0,35.0
Saturday,August,0.0,5.0,8.0,1.0,7.0,9.0,0.0,34.0,32.0
Sunday,August,0.0,4.0,10.0,0.0,15.0,8.0,1.0,28.0,18.0
Monday,August,0.0,7.0,13.0,1.0,11.0,6.0,0.0,33.0,37.0
Tuesday,August,1.0,10.0,17.0,1.0,16.0,10.0,0.0,28.0,35.0
Wednesday,August,0.0,3.0,10.0,0.0,11.0,15.0,0.0,25.0,31.0
Thursday,August,0.0,3.0,13.0,0.0,12.0,9.0,0.0,14.0,40.0
Friday,August,1.0,8.0,11.0,1.0,16.0,15.0,1.0,13.0,38.0
Saturday,August,0.0,5.0,10.0,1.0,12.0,17.0,4.0,27.0,29.0
Sunday,August,0.0,8.0,7.0,0.0,18.0,5.0,2.0,26.0,28.0
Monday,August,0.0,4.0,8.0,0.0,8.0,11.0,2.0,27.0,27.0
Tuesday,August,0.0,10.0,18.0,0.0,6.0,9.0,1.0,24.0,22.0
Wednesday,August,0.0,6.0,10.0,1.0,11.0,11.0,2.0,28.0,29.0
Thursday,August,0.0,3.0,9.0,0.0,6.0,7.0,2.0,25.0,39.0
Friday,August,0.0,6.0,10.0,0.0,6.0,13.0,0.0,42.0,34.0
Saturday,August,0.0,10.0,8.0,0.0,11.0,12.0,1.0,43.0,33.0
Sunday,August,0.0,6.0,5.0,1.0,8.0,20.0,1.0,25.0,13.0
Monday,August,0.0,5.0,5.0,0.0,7.0,13.0,1.0,22.0,27.0
Tuesday,August,0.0,7.0,7.0,0.0,5.0,13.0,0.0,26.0,31.0
Wednesday,August,0.0,6.0,4.0,0.0,12.0,6.0,0.0,22.0,36.0
Thursday,August,0.0,6.0,9.0,0.0,11.0,13.0,0.0,24.0,28.0
Friday,August,0.0,5.0,15.0,1.0,15.0,7.0,0.0,23.0,23.0
Saturday,August,0.0,5.0,2.0,1.0,13.0,13.0,2.0,25.0,29.0
Sunday,August,0.0,5.0,6.0,1.0,9.0,11.0,0.0,26.0,37.0
Monday,August,0.0,7.0,17.0,1.0,8.0,8.0,0.0,21.0,35.0
Tuesday,August,1.0,7.0,11.0,0.0,3.0,14.0,1.0,24.0,30.0
Wednesday,August,0.0,5.0,9.0,1.0,7.0,14.0,0.0,18.0,33.0
Thursday,September,0.0,2.0,10.0,0.0,10.0,8.0,0.0,32.0,32.0
Friday,September,0.0,7.0,13.0,0.0,9.0,8.0,0.0,28.0,32.0
Saturday,September,0.0,13.0,9.0,0.0,17.0,12.0,1.0,35.0,34.0
Sunday,September,1.0,7.0,6.0,0.0,8.0,10.0,1.0,28.0,33.0
Monday,September,0.0,9.0,8.0,0.0,4.0,10.0,1.0,45.0,17.0
Tuesday,September,0.0,7.0,17.0,0.0,3.0,16.0,3.0,23.0,29.0
Wednesday,September,0.0,2.0,9.0,0.0,6.0,12.0,1.0,24.0,24.0
Thursday,September,0.0,3.0,8.0,0.0,3.0,10.0,0.0,19.0,17.0
Friday,September,0.0,7.0,15.0,0.0,14.0,14.0,1.0,35.0,26.0
Saturday,September,0.0,6.0,4.0,1.0,10.0,19.0,0.0,40.0,37.0
Sunday,September,0.0,7.0,4.0,0.0,9.0,13.0,0.0,33.0,20.0
Monday,September,0.0,8.0,13.0,0.0,8.0,11.0,0.0,15.0,30.0
Tuesday,September,1.0,4.0,5.0,1.0,6.0,8.0,0.0,14.0,37.0
Wednesday,September,0.0,9.0,8.0,0.0,8.0,9.0,1.0,25.0,29.0
Thursday,September,0.0,4.0,18.0,0.0,3.0,14.0,1.0,23.0,44.0
Friday,September,0.0,8.0,8.0,1.0,8.0,10.0,0.0,23.0,35.0
Saturday,September,0.0,9.0,8.0,0.0,17.0,14.0,0.0,39.0,32.0
Sunday,September,0.0,10.0,7.0,0.0,11.0,12.0,1.0,39.0,31.0
Monday,September,0.0,4.0,11.0,0.0,6.0,14.0,0.0,28.0,32.0
Tuesday,September,0.0,8.0,8.0,1.0,11.0,11.0,0.0,26.0,37.0
Wednesday,September,0.0,9.0,18.0,0.0,7.0,11.0,0.0,31.0,29.0
Thursday,September,0.0,5.0,15.0,0.0,7.0,14.0,0.0,19.0,30.0
Friday,September,0.0,12.0,18.0,0.0,8.0,9.0,0.0,36.0,20.0
