date,DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,Month,Year,Area,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
2010-01-27,Wednesday,January,0.0,7.0,13.0,1.0,11.0,16.0,0.0,19.0,24.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-28,Thursday,January,0.0,7.0,10.0,0.0,9.0,8.0,1.0,11.0,19.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-29,Friday,January,0.0,2.0,18.0,0.0,14.0,6.0,0.0,9.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-30,Saturday,January,0.0,9.0,5.0,0.0,5.0,5.0,0.0,18.0,15.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-01-31,Sunday,January,0.0,1.0,6.0,0.0,3.0,4.0,0.0,14.0,10.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
2010-02-01,Monday,February,0.0,4.0,8.0,1.0,5.0,2.0,1.0,15.0,19.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-02,Tuesday,February,0.0,2.0,10.0,0.0,7.0,6.0,0.0,8.0,20.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-03,Wednesday,February,0.0,6.0,6.0,1.0,12.0,5.0,0.0,20.0,23.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-04,Thursday,February,0.0,7.0,13.0,0.0,7.0,11.0,0.0,16.0,27.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-05,Friday,February,0.0,4.0,12.0,0.0,11.0,5.0,0.0,16.0,14.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
