DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,Month,Year,Area,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
Friday,January,0.0,10.0,9.0,0.0,10.0,3.0,0.0,17.0,28.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Saturday,January,0.0,3.0,7.0,1.0,7.0,2.0,1.0,20.0,23.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Sunday,January,0.0,5.0,2.0,0.0,11.0,7.0,0.0,15.0,8.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Monday,January,0.0,4.0,7.0,0.0,9.0,9.0,0.0,21.0,19.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Tuesday,January,0.0,3.0,12.0,0.0,5.0,9.0,1.0,20.0,20.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Wednesday,January,0.0,5.0,3.0,0.0,5.0,9.0,0.0,7.0,15.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Thursday,January,1.0,6.0,4.0,0.0,13.0,13.0,0.0,20.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Friday,January,1.0,7.0,11.0,0.0,6.0,10.0,0.0,14.0,14.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Saturday,January,0.0,5.0,2.0,0.0,11.0,6.0,0.0,16.0,15.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Sunday,January,0.0,8.0,5.0,1.0,8.0,3.0,1.0,14.0,8.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Monday,January,0.0,5.0,8.0,0.0,12.0,10.0,1.0,22.0,19.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Tuesday,January,0.0,7.0,3.0,1.0,4.0,5.0,0.0,15.0,16.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Wednesday,January,0.0,5.0,10.0,2.0,13.0,6.0,0.0,15.0,27.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Thursday,January,0.0,0.0,8.0,0.0,7.0,4.0,0.0,14.0,16.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Friday,January,0.0,6.0,10.0,0.0,20.0,9.0,0.0,26.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Saturday,January,0.0,9.0,13.0,0.0,9.0,13.0,0.0,20.0,18.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Sunday,January,0.0,7.0,5.0,1.0,10.0,6.0,0.0,11.0,10.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Monday,January,0.0,8.0,6.0,0.0,11.0,8.0,0.0,20.0,18.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Tuesday,January,1.0,12.0,14.0,0.0,9.0,14.0,0.0,4.0,25.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Wednesday,January,0.0,7.0,13.0,1.0,7.0,16.0,1.0,11.0,24.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Thursday,January,0.0,4.0,11.0,0.0,5.0,9.0,0.0,17.0,17.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Friday,January,1.0,6.0,13.0,0.0,14.0,12.0,0.0,20.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Saturday,January,0.0,10.0,10.0,0.0,11.0,8.0,1.0,23.0,28.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Sunday,January,0.0,10.0,11.0,0.0,14.0,11.0,1.0,25.0,9.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Monday,January,0.0,4.0,7.0,0.0,15.0,14.0,0.0,19.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Tuesday,January,0.0,5.0,10.0,0.0,7.0,6.0,0.0,21.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Wednesday,January,0.0,7.0,13.0,1.0,11.0,16.0,0.0,19.0,24.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Thursday,January,0.0,7.0,10.0,0.0,9.0,8.0,1.0,11.0,19.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Friday,January,0.0,2.0,18.0,0.0,14.0,6.0,0.0,9.0,22.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Saturday,January,0.0,9.0,5.0,0.0,5.0,5.0,0.0,18.0,15.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Sunday,January,0.0,1.0,6.0,0.0,3.0,4.0,0.0,14.0,10.0,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0
Monday,February,0.0,4.0,8.0,1.0,5.0,2.0,1.0,15.0,19.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Tuesday,February,0.0,2.0,10.0,0.0,7.0,6.0,0.0,8.0,20.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Wednesday,February,0.0,6.0,6.0,1.0,12.0,5.0,0.0,20.0,23.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Thursday,February,0.0,7.0,13.0,0.0,7.0,11.0,0.0,16.0,27.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Friday,February,0.0,4.0,12.0,0.0,11.0,5.0,0.0,16.0,14.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Saturday,February,0.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Sunday,February,0.0,2.0,4.0,0.0,4.0,4.0,0.0,5.0,8.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Monday,February,0.0,6.0,2.0,0.0,3.0,3.0,0.0,5.0,10.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Tuesday,February,0.0,10.0,5.0,0.0,5.0,7.0,0.0,10.0,8.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Wednesday,February,0.0,1.0,4.0,0.0,4.0,3.0,0.0,4.0,4.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Thursday,February,0.0,6.0,0.0,0.0,5.0,2.0,0.0,7.0,9.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Friday,February,0.0,8.0,4.0,1.0,13.0,6.0,0.0,9.0,13.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Saturday,February,0.0,8.0,5.0,0.0,12.0,5.0,0.0,13.0,17.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Sunday,February,0.0,11.0,6.0,0.0,7.0,9.0,1.0,11.0,10.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Monday,February,0.0,6.0,4.0,1.0,9.0,7.0,0.0,16.0,6.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Tuesday,February,0.0,8.0,10.0,0.0,8.0,2.0,0.0,6.0,14.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Wednesday,February,0.0,3.0,6.0,0.0,4.0,4.0,0.0,13.0,14.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Thursday,February,0.0,1.0,6.0,0.0,10.0,3.0,0.0,13.0,16.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Friday,February,0.0,4.0,15.0,0.0,8.0,11.0,0.0,11.0,18.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Saturday,February,0.0,6.0,10.0,0.0,8.0,5.0,1.0,27.0,16.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Sunday,February,2.0,3.0,4.0,1.0,7.0,9.0,0.0,18.0,27.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Monday,February,1.0,3.0,8.0,0.0,7.0,5.0,0.0,19.0,21.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Tuesday,February,0.0,8.0,11.0,0.0,9.0,7.0,0.0,21.0,23.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Wednesday,February,0.0,6.0,7.0,1.0,7.0,9.0,0.0,28.0,26.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Thursday,February,0.0,3.0,13.0,0.0,7.0,12.0,0.0,19.0,17.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Friday,February,0.0,7.0,10.0,0.0,9.0,8.0,0.0,24.0,21.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Saturday,February,0.0,6.0,5.0,1.0,9.0,7.0,0.0,25.0,10.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Sunday,February,0.0,8.0,6.0,0.0,8.0,8.0,2.0,20.0,16.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
Monday,March,0.0,1.0,8.0,0.0,7.0,5.0,0.0,21.0,21.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Tuesday,March,0.0,4.0,8.0,0.0,4.0,7.0,1.0,15.0,10.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Wednesday,March,0.0,4.0,14.0,0.0,5.0,6.0,0.0,15.0,24.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Thursday,March,1.0,5.0,11.0,1.0,5.0,14.0,0.0,13.0,22.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Friday,March,1.0,9.0,15.0,0.0,10.0,11.0,0.0,26.0,12.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Saturday,March,0.0,4.0,7.0,0.0,16.0,7.0,1.0,20.0,16.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Sunday,March,0.0,10.0,4.0,0.0,13.0,8.0,2.0,22.0,16.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Monday,March,0.0,3.0,12.0,0.0,6.0,10.0,0.0,22.0,28.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Tuesday,March,0.0,7.0,9.0,2.0,8.0,5.0,0.0,21.0,27.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Wednesday,March,0.0,4.0,10.0,1.0,9.0,8.0,1.0,23.0,24.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Thursday,March,0.0,4.0,5.0,0.0,9.0,13.0,2.0,17.0,33.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Friday,March,0.0,6.0,7.0,0.0,6.0,12.0,0.0,22.0,31.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Saturday,March,0.0,7.0,10.0,0.0,8.0,11.0,1.0,28.0,18.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Sunday,March,0.0,6.0,6.0,0.0,7.0,13.0,0.0,26.0,9.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Monday,March,0.0,6.0,4.0,0.0,6.0,10.0,0.0,18.0,27.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Tuesday,March,0.0,5.0,5.0,1.0,2.0,2.0,0.0,22.0,22.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Wednesday,March,0.0,3.0,9.0,0.0,11.0,4.0,0.0,24.0,21.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Thursday,March,0.0,5.0,9.0,0.0,8.0,11.0,0.0,28.0,21.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Friday,March,0.0,6.0,11.0,0.0,14.0,3.0,0.0,20.0,21.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Saturday,March,0.0,8.0,15.0,0.0,13.0,9.0,1.0,18.0,20.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Sunday,March,0.0,9.0,9.0,0.0,12.0,4.0,2.0,23.0,16.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Monday,March,0.0,4.0,11.0,1.0,8.0,9.0,1.0,31.0,26.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Tuesday,March,0.0,11.0,16.0,0.0,6.0,12.0,0.0,15.0,31.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Wednesday,March,0.0,12.0,11.0,0.0,12.0,10.0,0.0,17.0,23.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Thursday,March,0.0,15.0,10.0,0.0,10.0,23.0,1.0,14.0,26.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Friday,March,2.0,7.0,13.0,0.0,8.0,10.0,0.0,25.0,24.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Saturday,March,0.0,8.0,7.0,2.0,14.0,10.0,0.0,24.0,13.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Sunday,March,0.0,7.0,8.0,0.0,15.0,5.0,2.0,24.0,9.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Monday,March,0.0,5.0,9.0,0.0,13.0,9.0,0.0,31.0,18.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Tuesday,March,0.0,7.0,11.0,4.0,7.0,10.0,1.0,22.0,9.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Wednesday,March,0.0,3.0,3.0,0.0,13.0,11.0,0.0,23.0,32.0,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
Thursday,April,0.0,10.0,9.0,0.0,8.0,19.0,1.0,13.0,36.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Friday,April,0.0,11.0,7.0,0.0,10.0,9.0,2.0,27.0,29.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Saturday,April,0.0,10.0,5.0,0.0,7.0,15.0,1.0,18.0,25.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Sunday,April,0.0,2.0,3.0,0.0,7.0,6.0,1.0,34.0,16.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Monday,April,0.0,2.0,6.0,0.0,6.0,8.0,0.0,20.0,25.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Tuesday,April,0.0,8.0,11.0,1.0,7.0,8.0,0.0,17.0,24.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Wednesday,April,0.0,9.0,10.0,0.0,12.0,6.0,1.0,25.0,28.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Thursday,April,1.0,7.0,11.0,0.0,8.0,8.0,0.0,13.0,16.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Friday,April,0.0,6.0,5.0,0.0,12.0,11.0,1.0,10.0,23.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Saturday,April,0.0,7.0,6.0,1.0,11.0,11.0,0.0,24.0,20.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Sunday,April,1.0,10.0,6.0,1.0,9.0,10.0,0.0,20.0,14.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Monday,April,0.0,2.0,13.0,0.0,10.0,6.0,0.0,20.0,22.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Tuesday,April,0.0,5.0,9.0,0.0,3.0,6.0,0.0,34.0,19.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Wednesday,April,0.0,3.0,7.0,1.0,8.0,15.0,1.0,18.0,23.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Thursday,April,0.0,6.0,11.0,0.0,9.0,15.0,0.0,28.0,21.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Friday,April,0.0,11.0,16.0,0.0,13.0,9.0,1.0,32.0,32.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Saturday,April,0.0,12.0,12.0,0.0,16.0,13.0,3.0,37.0,27.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Sunday,April,1.0,8.0,3.0,0.0,5.0,12.0,1.0,43.0,26.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Monday,April,0.0,8.0,11.0,0.0,12.0,4.0,0.0,29.0,20.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Tuesday,April,0.0,9.0,11.0,0.0,7.0,9.0,0.0,21.0,22.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Wednesday,April,0.0,6.0,6.0,0.0,12.0,12.0,1.0,22.0,25.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Thursday,April,0.0,7.0,13.0,0.0,9.0,12.0,0.0,26.0,40.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Friday,April,0.0,11.0,12.0,0.0,19.0,15.0,0.0,19.0,23.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Saturday,April,0.0,4.0,9.0,0.0,15.0,8.0,0.0,32.0,9.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Sunday,April,0.0,8.0,5.0,0.0,11.0,6.0,0.0,15.0,11.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Monday,April,0.0,6.0,9.0,0.0,8.0,14.0,1.0,32.0,22.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Tuesday,April,1.0,6.0,18.0,0.0,7.0,7.0,0.0,27.0,35.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Wednesday,April,0.0,13.0,13.0,0.0,8.0,11.0,0.0,23.0,26.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Thursday,April,0.0,3.0,13.0,0.0,9.0,6.0,0.0,41.0,33.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Friday,April,0.0,3.0,15.0,0.0,20.0,11.0,2.0,30.0,23.0,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
Saturday,May,0.0,4.0,10.0,2.0,14.0,16.0,1.0,26.0,12.0,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
Sunday,May,0.0,10.0,3.0,0.0,12.0,8.0,0.0,26.0,15.0,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
Monday,May,0.0,4.0,11.0,0.0,14.0,16.0,0.0,31.0,31.0,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
Tuesday,May,0.0,7.0,8.0,0.0,11.0,12.0,1.0,28.0,34.0,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
Wednesday,May,0.0,16.0,13.0,0.0,13.0,7.0,1.0,27.0,20.0,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
Thursday,May,0.0,10.0,6.0,0.0,9.0,10.0,0.0,27.0,25.0,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
Friday,May,1.0,11.0,12.0,0.0,16.0,10.0,0.0,38.0,31.0,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
Saturday,May,0.0,9.0,8.0,1.0,11.0,12.0,1.0,38.0,22.0,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
