date,Month,Year,Area,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code,DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,TOTAL,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,Holiday,Public
2010-01-19,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Tuesday,January,1.0,12.0,14.0,0.0,9.0,14.0,0.0,4.0,25.0,79.0,0.0,0.0,0.0,12.8,-1.1,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-20,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Wednesday,January,0.0,7.0,13.0,1.0,7.0,16.0,1.0,11.0,24.0,80.0,0.3,0.0,0.0,14.4,0.6,1.1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-21,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Thursday,January,0.0,4.0,11.0,0.0,5.0,9.0,0.0,17.0,17.0,63.0,0.0,0.0,0.0,6.7,-2.8,-2.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-22,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Friday,January,1.0,6.0,13.0,0.0,14.0,12.0,0.0,20.0,22.0,88.0,2.3,0.0,0.0,6.1,-2.8,2.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-23,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Saturday,January,0.0,10.0,10.0,0.0,11.0,8.0,1.0,23.0,28.0,91.0,0.0,0.0,0.0,6.1,-2.2,-1.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-24,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Sunday,January,0.0,10.0,11.0,0.0,14.0,11.0,1.0,25.0,9.0,81.0,0.0,0.0,0.0,7.8,-1.1,2.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-25,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Monday,January,0.0,4.0,7.0,0.0,15.0,14.0,0.0,19.0,22.0,81.0,9.4,0.0,0.0,16.1,2.2,16.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-26,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Tuesday,January,0.0,5.0,10.0,0.0,7.0,6.0,0.0,21.0,22.0,71.0,0.0,0.0,0.0,18.9,2.2,3.9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-27,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Wednesday,January,0.0,7.0,13.0,1.0,11.0,16.0,0.0,19.0,24.0,91.0,0.0,0.0,0.0,6.7,-2.2,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-28,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Thursday,January,0.0,7.0,10.0,0.0,9.0,8.0,1.0,11.0,19.0,65.0,0.0,0.0,0.0,6.7,-1.7,2.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-29,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Friday,January,0.0,2.0,18.0,0.0,14.0,6.0,0.0,9.0,22.0,71.0,0.0,0.0,0.0,11.7,-7.2,-7.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-30,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Saturday,January,0.0,9.0,5.0,0.0,5.0,5.0,0.0,18.0,15.0,57.0,0.0,0.0,0.0,-3.3,-7.2,-6.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-01-31,1,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,096,785","2,891,599","205,186",6.6,11.0,47900.0,Sunday,January,0.0,1.0,6.0,0.0,3.0,4.0,0.0,14.0,10.0,38.0,8.6,127.0,0.0,-6.1,-12.2,-10.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,True
2010-02-01,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Monday,February,0.0,4.0,8.0,1.0,5.0,2.0,1.0,15.0,19.0,55.0,0.0,0.0,76.0,0.6,-10.0,-2.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-02,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Tuesday,February,0.0,2.0,10.0,0.0,7.0,6.0,0.0,8.0,20.0,53.0,0.0,0.0,76.0,3.9,-6.7,-1.7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-03,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Wednesday,February,0.0,6.0,6.0,1.0,12.0,5.0,0.0,20.0,23.0,73.0,7.9,112.0,102.0,4.4,-1.7,0.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-04,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Thursday,February,0.0,7.0,13.0,0.0,7.0,11.0,0.0,16.0,27.0,81.0,0.0,0.0,25.0,6.1,-1.7,0.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-05,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Friday,February,0.0,4.0,12.0,0.0,11.0,5.0,0.0,16.0,14.0,62.0,0.0,0.0,25.0,6.1,-1.7,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-06,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Saturday,February,0.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,16.0,0.0,0.0,0.0,6.1,-1.7,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-07,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Sunday,February,0.0,2.0,4.0,0.0,4.0,4.0,0.0,5.0,8.0,27.0,0.0,0.0,0.0,6.1,-12.2,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-08,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Monday,February,0.0,6.0,2.0,0.0,3.0,3.0,0.0,5.0,10.0,29.0,0.0,0.0,533.0,6.1,-12.2,-3.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-09,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Tuesday,February,0.0,10.0,5.0,0.0,5.0,7.0,0.0,10.0,8.0,45.0,0.0,0.0,483.0,1.7,-9.4,-4.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-10,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Wednesday,February,0.0,1.0,4.0,0.0,4.0,3.0,0.0,4.0,4.0,20.0,0.0,0.0,0.0,2.8,-7.2,-6.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-11,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Thursday,February,0.0,6.0,0.0,0.0,5.0,2.0,0.0,7.0,9.0,29.0,0.0,0.0,483.0,0.0,-6.1,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-12,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Friday,February,0.0,8.0,4.0,1.0,13.0,6.0,0.0,9.0,13.0,54.0,0.0,0.0,381.0,3.9,-3.9,-0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-13,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Saturday,February,0.0,8.0,5.0,0.0,12.0,5.0,0.0,13.0,17.0,60.0,0.0,0.0,432.0,3.3,-2.8,-2.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-14,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Sunday,February,0.0,11.0,6.0,0.0,7.0,9.0,1.0,11.0,10.0,55.0,0.0,0.0,0.0,3.3,-3.9,-2.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-15,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Monday,February,0.0,6.0,4.0,1.0,9.0,7.0,0.0,16.0,6.0,49.0,0.0,0.0,0.0,4.4,-9.4,-1.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Washington's Birthday,False
2010-02-16,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Tuesday,February,0.0,8.0,10.0,0.0,8.0,2.0,0.0,6.0,14.0,48.0,0.0,0.0,406.0,3.9,-2.8,-2.8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-17,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Wednesday,February,0.0,3.0,6.0,0.0,4.0,4.0,0.0,13.0,14.0,44.0,0.0,0.0,356.0,2.2,-4.4,-1.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-18,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Thursday,February,0.0,1.0,6.0,0.0,10.0,3.0,0.0,13.0,16.0,49.0,0.0,0.0,356.0,2.8,-1.7,2.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-19,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Friday,February,0.0,4.0,15.0,0.0,8.0,11.0,0.0,11.0,18.0,67.0,0.0,0.0,178.0,6.1,1.1,2.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-20,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Saturday,February,0.0,6.0,10.0,0.0,8.0,5.0,1.0,27.0,16.0,73.0,0.0,0.0,0.0,7.2,0.6,2.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-21,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Sunday,February,2.0,3.0,4.0,1.0,7.0,9.0,0.0,18.0,27.0,71.0,0.0,0.0,0.0,7.2,-3.3,2.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-22,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Monday,February,1.0,3.0,8.0,0.0,7.0,5.0,0.0,19.0,21.0,64.0,0.0,0.0,0.0,10.0,-0.6,2.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-23,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Tuesday,February,0.0,8.0,11.0,0.0,9.0,7.0,0.0,21.0,23.0,79.0,6.9,0.0,0.0,7.2,1.7,3.3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-24,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Wednesday,February,0.0,6.0,7.0,1.0,7.0,9.0,0.0,28.0,26.0,84.0,0.0,0.0,0.0,7.2,1.7,2.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-25,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Thursday,February,0.0,3.0,13.0,0.0,7.0,12.0,0.0,19.0,17.0,71.0,0.5,0.0,0.0,7.2,1.1,2.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-26,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Friday,February,0.0,7.0,10.0,0.0,9.0,8.0,0.0,24.0,21.0,79.0,0.0,0.0,0.0,5.6,-1.7,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-27,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Saturday,February,0.0,6.0,5.0,1.0,9.0,7.0,0.0,25.0,10.0,63.0,0.0,0.0,0.0,2.8,-1.1,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-02-28,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0,Sunday,February,0.0,8.0,6.0,0.0,8.0,8.0,2.0,20.0,16.0,68.0,0.0,0.0,0.0,7.2,-1.1,2.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,True
2010-03-01,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Monday,March,0.0,1.0,8.0,0.0,7.0,5.0,0.0,21.0,21.0,63.0,0.0,0.0,0.0,7.8,2.2,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-02,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Tuesday,March,0.0,4.0,8.0,0.0,4.0,7.0,1.0,15.0,10.0,49.0,0.0,0.0,0.0,5.0,2.8,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-03,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Wednesday,March,0.0,4.0,14.0,0.0,5.0,6.0,0.0,15.0,24.0,68.0,2.3,0.0,0.0,6.1,1.7,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-04,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Thursday,March,1.0,5.0,11.0,1.0,5.0,14.0,0.0,13.0,22.0,72.0,0.0,0.0,0.0,5.6,1.1,2.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-05,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Friday,March,1.0,9.0,15.0,0.0,10.0,11.0,0.0,26.0,12.0,84.0,0.0,0.0,0.0,8.9,1.7,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-06,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Saturday,March,0.0,4.0,7.0,0.0,16.0,7.0,1.0,20.0,16.0,71.0,0.0,0.0,0.0,10.6,0.0,2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-07,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Sunday,March,0.0,10.0,4.0,0.0,13.0,8.0,2.0,22.0,16.0,75.0,0.0,0.0,0.0,12.2,2.2,5.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-08,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Monday,March,0.0,3.0,12.0,0.0,6.0,10.0,0.0,22.0,28.0,81.0,0.0,0.0,0.0,14.4,1.7,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-09,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Tuesday,March,0.0,7.0,9.0,2.0,8.0,5.0,0.0,21.0,27.0,79.0,0.0,0.0,0.0,16.1,1.1,8.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-10,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Wednesday,March,0.0,4.0,10.0,1.0,9.0,8.0,1.0,23.0,24.0,80.0,0.0,0.0,0.0,18.9,4.4,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-11,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Thursday,March,0.0,4.0,5.0,0.0,9.0,13.0,2.0,17.0,33.0,83.0,0.0,0.0,0.0,16.7,6.1,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-12,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Friday,March,0.0,6.0,7.0,0.0,6.0,12.0,0.0,22.0,31.0,84.0,14.0,0.0,0.0,18.9,7.8,10.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
2010-03-13,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0,Saturday,March,0.0,7.0,10.0,0.0,8.0,11.0,1.0,28.0,18.0,83.0,19.6,0.0,0.0,11.7,8.3,11.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,True
